Model,Serial Number,MAC,Device Name,,,,Mac address,AP Name,CL 2017 Audit,,,,MWC SENT,CL 2017 Audit,,,,MWC SENT,CL 2017 Audit,,CL 2017 Audit
AIR-CAP3702E-E-K9,FGL1750S5RK,BC16650917BC,AP1201,3702e,1,ap name,BC16650917BC,AP1201-3702e,,,lab,1,1,,lab,,1,1,,AP1201-3702e,
AIR-CAP3702E-E-K9,FGL1750S5RQ,7CAD74FF6702,AP1202,3702e,1,ap name,7CAD74FF6702,AP1202-3702e,1,,1,,1,1,1,,,1,1,AP1202-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7P7,7CAD74FF638E,AP1203,3702e,1,ap name,7CAD74FF638E,AP1203-3702e,1,,lab,1,1,1,lab,,1,1,1,AP1203-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7PB,BC1665093A60,AP1204,3702e,1,ap name,BC1665093A60,AP1204-3702e,,stock,1,,1,,1,,,1,,AP1204-3702e,
AIR-CAP3702E-E-K9,FGL1750S7NA,7CAD74FF696E,AP1205,3702e,1,ap name,7CAD74FF696E,AP1205-3702e,,,,,,,,,,,,AP1205-3702e,
AIR-CAP3702E-E-K9,FGL1750S7NH,7CAD74FF62F2,AP1206,3702e,1,ap name,7CAD74FF62F2,AP1206-3702e,,,lab,1,1,,lab,,1,1,,AP1206-3702e,
AIR-CAP3702E-E-K9,FGL1750S5RN,7CAD74FFD752,AP1207,3702e,1,ap name,7CAD74FFD752,AP1207-3702e,1,,lab,1,1,1,lab,,1,1,1,AP1207-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7NF,7CAD74FFD44A,AP1208,3702e,1,ap name,7CAD74FFD44A,AP1208-3702e,,stock,1,,1,,1,,,1,,AP1208-3702e,
AIR-CAP3702E-E-K9,FCZ175180SK,BC1665094018,AP1209,3702e,1,ap name,BC1665094018,AP1209-3702e,1,,lab,1,1,1,lab,,1,1,1,AP1209-3702e,1
AIR-CAP3702E-E-K9,FGL1750S5RR,BC1665091850,AP1210,3702e,1,ap name,BC1665091850,AP1210-3702e,,,,,,,,,,,,AP1210-3702e,
AIR-CAP3702E-E-K9,FCZ175180SF,BC1665093CE4,AP1211,3702e,1,ap name,BC1665093CE4,AP1211-3702e,,stock,1,,1,,1,,,1,,AP1211-3702e,
AIR-CAP3702E-E-K9,FCZ175180SJ,BC1665093F6C,AP1212,3702e,1,ap name,BC1665093F6C,AP1212-3702e,,stock,1,,1,,1,,,1,,AP1212-3702e,
AIR-CAP3702E-E-K9,FCZ175180SE,3C08F66CFA70,AP1213,3702e,1,ap name,3C08F66CFA70,AP1213-3702e,,stock,1,,1,,1,,,1,,AP1213-3702e,
AIR-CAP3702E-E-K9,FGL1750S5RJ,7CAD74FF696A,AP1214,3702e,1,ap name,7CAD74FF696A,AP1214-3702e,,,,,,,,,,,,AP1214-3702e,
AIR-CAP3702E-E-K9,FCZ175180SG,3C08F66D02F8,AP1215,3702e,1,ap name,3C08F66D02F8,AP1215-3702e,,,,,,,,,,,,AP1215-3702e,
AIR-CAP3702E-E-K9,FCZ175180SA,3C08F66CF7E8,AP1216,3702e,1,ap name,3C08F66CF7E8,AP1216-3702e,,stock,1,,1,,1,,,1,,AP1216-3702e,
AIR-CAP3702E-E-K9,FCZ175180S8,BC16650946C0,AP1217,3702e,1,ap name,BC16650946C0,AP1217-3702e,,stock,1,,1,,1,,,1,,AP1217-3702e,
AIR-CAP3702E-E-K9,FCZ175180SC,3C08F66D03E8,AP1218,3702e,1,ap name,3C08F66D03E8,AP1218-3702e,,,lab,1,1,,lab,,1,1,,AP1218-3702e,
AIR-CAP3702E-E-K9,FGL1750S7PA,7CAD74FF60D6,AP1219,3702e,1,ap name,7CAD74FF60D6,AP1219-3702e,,,lab,1,1,,lab,,1,1,,AP1219-3702e,
AIR-CAP3702E-E-K9,FCZ175180S3,BC1665093F9C,AP1220,3702e,1,ap name,BC1665093F9C,AP1220-3702e,1,,lab,1,1,1,lab,,1,1,1,AP1220-3702e,1
AIR-CAP3702E-E-K9,FCZ175180SL,3C08F66CF9DC,AP1221,3702e,1,ap name,3C08F66CF9DC,AP1221-3702e,,,lab,1,1,,lab,,1,1,,AP1221-3702e,
AIR-CAP3702E-E-K9,FGL1750S7PX,BC1665093AE0,AP1222,3702e,1,ap name,BC1665093AE0,AP1222-3702e,1,stock,1,,1,1,1,,,1,1,AP1222-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7PF,3C08F66CF7D8,AP1223,3702e,1,ap name,3C08F66CF7D8,AP1223-3702e,,,lab,1,1,,lab,,1,1,,AP1223-3702e,
AIR-CAP3702E-E-K9,FCZ175180SS,BC1665093F70,AP1224,3702e,1,ap name,BC1665093F70,AP1224-3702e,1,,lab,1,1,1,lab,,1,1,1,AP1224-3702e,1
AIR-CAP3702E-E-K9,FCZ175180SW,BC1665093B04,AP1225,3702e,1,ap name,BC1665093B04,AP1225-3702e,,,lab,1,1,,lab,,1,1,,AP1225-3702e,
AIR-CAP3702E-E-K9,FCZ1751Q0S5,BC16650946B4,AP1226,3702e,1,ap name,BC16650946B4,AP1226-3702e,,,lab,1,1,,lab,,1,1,,AP1226-3702e,
AIR-CAP3702E-E-K9,FGL1750S7P6,7CAD74FF622E,AP1227,3702e,1,ap name,7CAD74FF622E,AP1227-3702e,1,,lab,1,1,1,lab,,1,1,1,AP1227-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7NP,A80C0DFFFC50,AP1228,3702e,1,ap name,A80C0DFFFC50,AP1228-3702e,1,,lab,1,1,1,lab,,1,1,1,AP1228-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7PH,BC1665093A40,AP1229,3702e,1,ap name,BC1665093A40,AP1229-3702e,1,,lab,1,1,1,lab,,1,1,1,AP1229-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7PL,BC1665093A38,AP1230,3702e,1,ap name,BC1665093A38,AP1230-3702e,1,,,,1,1,,,,1,1,AP1230-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7P2,7CAD74FF6186,AP1231,3702e,1,ap name,7CAD74FF6186,AP1231-3702e,1,,,,1,1,,,,1,1,AP1231-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7N8,7CAD74FFD6FA,AP1232,3702e,1,ap name,7CAD74FFD6FA,AP1232-3702e,1,,lab,1,1,1,lab,,1,1,1,AP1232-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7NB,A80C0DFFEF28,AP1233,3702e,1,ap name,A80C0DFFEF28,AP1233-3702e,1,stock,1,,1,1,1,,,1,1,AP1233-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7NS,7CAD74FF6BAE,AP1234,3702e,1,ap name,7CAD74FF6BAE,AP1234-3702e,,,lab,1,1,,lab,,1,1,,AP1234-3702e,
AIR-CAP3702E-E-K9,FGL1750S7NG,7CAD74FF6E36,AP1235,3702e,1,ap name,7CAD74FF6E36,AP1235-3702e,,,lab,1,1,,lab,,1,1,,AP1235-3702e,
AIR-CAP3702E-E-K9,FCZ175180SV,3C08F66CF830,AP1236,3702e,1,ap name,3C08F66CF830,AP1236-3702e,,,lab,1,1,,lab,,1,1,,AP1236-3702e,
AIR-CAP3702E-E-K9,FGL1750S7P8,3C08F66CF7E0,AP1237,3702e,1,ap name,3C08F66CF7E0,AP1237-3702e,,,lab,1,1,,lab,,1,1,,AP1237-3702e,
AIR-CAP3702E-E-K9,FGL1750S7PG,3C08F66CF7A0,AP1238,3702e,1,ap name,3C08F66CF7A0,AP1238-3702e,1,,lab,1,1,1,lab,,1,1,1,AP1238-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7PE,7CAD74FF62C2,AP1239,3702e,1,ap name,7CAD74FF62C2,AP1239-3702e,1,,lab,1,1,1,lab,,1,1,1,AP1239-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7NV,7CAD74FF67CE,AP1240,3702e,1,ap name,7CAD74FF67CE,AP1240-3702e,1,,1,,1,1,1,,,1,1,AP1240-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7NW,7CAD74FF62FE,AP1241,3702e,1,ap name,7CAD74FF62FE,AP1241-3702e,,,,,,,,,,,,AP1241-3702e,
AIR-CAP3702E-E-K9,FGL1750S7NZ,7CAD74FF6AD2,AP1242,3702e,1,ap name,7CAD74FF6AD2,AP1242-3702e,1,,1,,1,1,1,,,1,1,AP1242-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7PC,BC1665093C8C,AP1243,3702e,1,ap name,BC1665093C8C,AP1243-3702e,1,stock,1,,1,1,1,,,1,1,AP1243-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7P5,7CAD74FF6392,AP1244,3702e,1,ap name,7CAD74FF6392,AP1244-3702e,1,,1,,1,1,1,,,1,1,AP1244-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7N9,7CAD74FF6A3E,AP1245,3702e,1,ap name,7CAD74FF6A3E,AP1245-3702e,1,,1,,1,1,1,,,1,1,AP1245-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7NE,7CAD74FF6286,AP1246,3702e,1,ap name,7CAD74FF6286,AP1246-3702e,1,stock,1,,,1,1,,,,1,AP1246-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7ND,7CAD74FF62C6,AP1247,3702e,1,ap name,7CAD74FF62C6,AP1247-3702e,,,,,,,,,,,,AP1247-3702e,
AIR-CAP3702E-E-K9,FGL1750S7NR,7CAD74FF6F1A,AP1248,3702e,0,ap name,7CAD74FF6F1A,AP1248-3702e,,lost @ CL14,,,40,,,,,40,,AP1248-3702e,
AIR-CAP3702E-E-K9,FGL1750S7NN,7CAD74FF6EF6,AP1249,3702e,1,ap name,7CAD74FF6EF6,AP1249-3702e,1,,1,,,1,1,,,,1,AP1249-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7P1,7CAD74FF639E,AP1250,3702e,1,ap name,7CAD74FF639E,AP1250-3702e,,,,,,,,,,,,AP1250-3702e,
AIR-CAP3702E-E-K9,FGL1750S7P4,7CAD74FF62FA,AP1251,3702e,1,ap name,7CAD74FF62FA,AP1251-3702e,,,,,,,,,,,,AP1251-3702e,
AIR-CAP3702E-E-K9,FCZ175180SN,3C08F66CF8D4,AP1252,3702e,1,ap name,3C08F66CF8D4,AP1252-3702e,,,1,,,,1,,,,,AP1252-3702e,
AIR-CAP3702E-E-K9,FGL1750S7P3,7CAD74FF6302,AP1253,3702e,1,ap name,7CAD74FF6302,AP1253-3702e,,,1,,,,1,,,,,AP1253-3702e,
AIR-CAP3702E-E-K9,FCZ175180SB,BC1665093D0C,AP1254,3702e,1,ap name,BC1665093D0C,AP1254-3702e,,,,,,,,,,,,AP1254-3702e,
AIR-CAP3702E-E-K9,FCZ175180SQ,3C08F66CF7FC,AP1255,3702e,1,ap name,3C08F66CF7FC,AP1255-3702e,,,1,,,,1,,,,,AP1255-3702e,
AIR-CAP3702E-E-K9,FGL1750S7PM,BC1665093D8C,AP1256,3702e,1,ap name,BC1665093D8C,AP1256-3702e,,,,,,,,,,,,AP1256-3702e,
AIR-CAP3702E-E-K9,FCZ175180SU,BC1665094020,AP1257,3702e,1,ap name,BC1665094020,AP1257-3702e,,,,,,,,,,,,AP1257-3702e,
AIR-CAP3702E-E-K9,FCZ175180SP,3C08F66CF5A8,AP1258,3702e,1,ap name,3C08F66CF5A8,AP1258-3702e,,,,,,,,,,,,AP1258-3702e,
AIR-CAP3702E-E-K9,FCZ175180SH,3C08F66D0314,AP1259,3702e,1,ap name,3C08F66D0314,AP1259-3702e,,,,,,,,,,,,AP1259-3702e,
AIR-CAP3702E-E-K9,FCZ175180SR,3C08F66CF9B8,AP1260,3702e,1,ap name,3C08F66CF9B8,AP1260-3702e,,,,,,,,,,,,AP1260-3702e,
AIR-CAP3702E-E-K9,FGL1750S7NC,7CAD74FF6C1A,AP1261,3702e,1,ap name,7CAD74FF6C1A,AP1261-3702e,1,,1,,,1,1,,,,1,AP1261-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7NX,7CAD74FF6E62,AP1262,3702e,1,ap name,7CAD74FF6E62,AP1262-3702e,,,,,,,,,,,,AP1262-3702e,
AIR-CAP3702E-E-K9,FGL1750S7NJ,7CAD74FF64DE,AP1263,3702e,1,ap name,7CAD74FF64DE,AP1263-3702e,,,,,,,,,,,,AP1263-3702e,
AIR-CAP3702E-E-K9,FGL1750S7NT,7CAD74FF629E,AP1264,3702e,1,ap name,7CAD74FF629E,AP1264-3702e,1,,1,,,1,1,,,,1,AP1264-3702e,1
AIR-CAP3702E-E-K9,FCZ175180S5,BC1665094028,AP1265,3702e,1,ap name,BC1665094028,AP1265-3702e,,,,,,,,,,,,AP1265-3702e,
AIR-CAP3702E-E-K9,FCZ175180ST,3C08F66CF814,AP1266,3702e,1,ap name,3C08F66CF814,AP1266-3702e,,,,,,,,,,,,AP1266-3702e,
AIR-CAP3702E-E-K9,FCZ175180SM,BC1665093F5C,AP1267,3702e,1,ap name,BC1665093F5C,AP1267-3702e,,,,,,,,,,,,AP1267-3702e,
AIR-CAP3702E-E-K9,FGL1750S7NY,7CAD74FF6BEA,AP1268,3702e,1,ap name,7CAD74FF6BEA,AP1268-3702e,,,,,,,,,,,,AP1268-3702e,
AIR-CAP3702E-E-K9,FGL1750S7NU,7CAD74FF3B96,AP1269,3702e,1,ap name,7CAD74FF3B96,AP1269-3702e,,,,,,,,,,,,AP1269-3702e,
AIR-CAP3702E-E-K9,FCZ175180SD,BC1665094700,,3702e,,,BC1665094700,AP1270-3702e,1,,,,,1,,,,,1,AP1270-3702e,1
AIR-CAP3702E-E-K9,FGL1750S7NK,7CAD74FF6112,,3702e,,,7CAD74FF6112,AP1271-3702e,1,,22,23,,1,22,,23,,1,AP1271-3702e,1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
AIR-CAP3702E-E-K9,FGL1750S7PJ,7CAD74FF626E,AP1280,3702e,1,ap name,7CAD74FF626E,AP1280-3702e,1,home,,,,1,,,,,1,AP1280-3702e,1
AIR-CAP3702E-E-K9,FGL1750S5S7,BC1665091810,AP1281,3702e,1,ap name,BC1665091810,AP1281-3702e,1,,From Sujit,my seed units GSMA replacement,,1,From Sujit,,my seed units GSMA replacement,,1,AP1281-3702e,1
AIR-CAP3702E-E-K10,FGL1750S5RP,BC1665091828,AP1282,3702e,2,ap name,BC1665091828,AP1282-3702e,1,,From Sujit,my seed units GSMA replacement,,1,From Sujit,,my seed units GSMA replacement,,1,AP1282-3702e,1
AIR-CAP3702E-E-K11,FGL1750S5RU,BC1665091864,AP1283,3702e,3,ap name,BC1665091864,AP1283-3702e,1,,From Sujit,my seed units GSMA replacement,,1,From Sujit,,my seed units GSMA replacement,,1,AP1283-3702e,1
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AP1288-3702e,,,lab,,,,lab,,,,,AP1288-3702e,